Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,10.950000,11.070000,8.920000,9.220000,9.220000,0
2018-01-08,9.610000,10.850000,9.320000,10.160000,10.160000,0
2018-01-15,10.420000,12.810000,10.400000,11.270000,11.270000,0
2018-01-22,11.590000,12.190000,10.760000,11.080000,11.080000,0
2018-01-29,11.710000,17.860001,11.680000,17.309999,17.309999,0
2018-02-05,18.440001,50.299999,16.799999,29.059999,29.059999,0
2018-02-12,27.250000,29.700001,17.440001,19.459999,19.459999,0
2018-02-19,20.530001,21.610001,16.469999,16.490000,16.490000,0
2018-02-26,16.530001,26.219999,15.290000,19.590000,19.590000,0
2018-03-05,21.549999,21.570000,13.310000,14.640000,14.640000,0
2018-03-12,15.280000,17.590000,14.940000,15.800000,15.800000,0
2018-03-19,16.629999,26.010000,16.260000,24.870001,24.870001,0
2018-03-26,23.410000,24.940001,19.600000,19.969999,19.969999,0
2018-04-02,21.070000,25.719999,18.570000,21.490000,21.490000,0
2018-04-09,21.270000,22.020000,17.260000,17.410000,17.410000,0
2018-04-16,17.590000,17.660000,14.570000,16.879999,16.879999,0
2018-04-23,17.290001,19.840000,15.250000,15.410000,15.410000,0
2018-04-30,15.310000,18.660000,10.910000,14.770000,14.770000,0
2018-05-07,15.050000,15.560000,12.650000,12.650000,12.650000,0
2018-05-14,13.090000,15.010000,12.500000,13.420000,13.420000,0
2018-05-21,12.990000,14.600000,12.290000,13.220000,13.220000,0
2018-05-28,14.390000,18.780001,13.370000,13.460000,13.460000,0
2018-06-04,13.910000,13.910000,11.220000,12.180000,12.180000,0
2018-06-11,12.520000,13.160000,11.880000,11.980000,11.980000,0
2018-06-18,12.790000,15.180000,12.180000,13.770000,13.770000,0
2018-06-25,15.070000,19.610001,14.560000,16.090000,16.090000,0
2018-07-02,17.700001,18.080000,13.340000,13.370000,13.370000,0
2018-07-09,13.020000,14.150000,11.620000,12.180000,12.180000,0
2018-07-16,12.770000,13.580000,11.440000,12.860000,12.860000,0
2018-07-23,13.470000,14.260000,11.600000,13.030000,13.030000,0
2018-07-30,13.630000,14.530000,11.070000,11.640000,11.640000,0
2018-08-06,11.910000,13.820000,10.170000,13.160000,13.160000,0
2018-08-13,14.500000,16.860001,12.400000,12.640000,12.640000,0
2018-08-20,12.570000,13.290000,11.650000,11.990000,11.990000,0
2018-08-27,12.370000,14.030000,11.870000,12.860000,12.860000,0
2018-09-03,13.130000,15.630000,13.120000,14.880000,14.880000,0
2018-09-10,15.090000,15.200000,11.930000,12.070000,12.070000,0
2018-09-17,12.720000,13.750000,11.100000,11.680000,11.680000,0
2018-09-24,12.460000,13.220000,11.550000,12.120000,12.120000,0
2018-10-01,11.990000,17.360001,11.340000,14.820000,14.820000,0
2018-10-08,16.049999,28.840000,15.270000,21.309999,21.309999,0
2018-10-15,21.969999,22.889999,17.059999,19.889999,19.889999,0
2018-10-22,19.379999,27.520000,18.820000,24.160000,24.160000,0
2018-10-29,24.480000,27.860001,18.049999,19.510000,19.510000,0
2018-11-05,20.580000,20.870001,16.090000,17.360001,17.360001,0
2018-11-12,17.260000,22.969999,17.250000,18.139999,18.139999,0
2018-11-19,18.780001,23.809999,18.520000,21.520000,21.520000,0
2018-11-26,20.780001,20.799999,18.030001,18.070000,18.070000,0
2018-12-03,16.040001,25.940001,15.940000,23.230000,23.230000,0
2018-12-10,23.950001,25.940001,20.340000,21.629999,21.629999,0
2018-12-17,22.360001,31.350000,21.969999,30.110001,30.110001,0
2018-12-24,29.290001,36.200001,27.430000,28.340000,28.340000,0
2018-12-31,27.590000,28.530001,23.049999,23.219999,23.219999,0
